datetime;NP_price;LT_consumption;previous_hour_change;next_hour_change
2021-01-01 01:00;24,95;1191;;
2021-01-01 02:00;24,35;1141;-0,041981528;-0,043821209
2021-01-01 03:00;23,98;1091;-0,043821209;-0,038496792
2021-01-01 04:00;23,72;1049;-0,038496792;-0,019065777
2021-01-01 05:00;23,73;1029;-0,019065777;0,002915452
2021-01-01 06:00;24,06;1032;0,002915452;0,027131783
2021-01-01 07:00;24,44;1060;0,027131783;0,028301887
2021-01-01 08:00;24,93;1090;0,028301887;0,032110092
2021-01-01 09:00;24,9;1125;0,032110092;0,017777778
2021-01-01 10:00;25,07;1145;0,017777778;0,054148472
2021-01-01 11:00;30,02;1207;0,054148472;0,043910522
2021-01-01 12:00;37,14;1260;0,043910522;0,024603175
2021-01-01 13:00;39,05;1291;0,024603175;0,0116189
2021-01-01 14:00;40,59;1306;0,0116189;0
2021-01-01 15:00;40,79;1306;0;0,009954058
2021-01-01 16:00;45,47;1319;0,009954058;0,06444276
2021-01-01 17:00;51,72;1404;0,06444276;0,029202279
2021-01-01 18:00;55,39;1445;0,029202279;-0,013148789
2021-01-01 19:00;53,01;1426;-0,013148789;-0,012622721
2021-01-01 20:00;55,74;1408;-0,012622721;-0,025568182
2021-01-01 21:00;54,94;1372;-0,025568182;-0,029883382
2021-01-01 22:00;50,82;1331;-0,029883382;-0,055597295
2021-01-01 23:00;45,22;1257;-0,055597295;-0,050914877
2021-01-02 00:00;25,64;1193;-0,050914877;-0,051131601
2021-01-02 01:00;25,59;1132;-0,051131601;-0,052120141
2021-01-02 02:00;24,91;1073;-0,052120141;-0,027027027
2021-01-02 03:00;24,74;1044;-0,027027027;-0,012452107
2021-01-02 04:00;24,66;1031;-0,012452107;-0,001939864
2021-01-02 05:00;24,72;1029;-0,001939864;0,018464529
2021-01-02 06:00;24,92;1048;0,018464529;0,055343511
2021-01-02 07:00;30,05;1106;0,055343511;0,058770344
2021-01-02 08:00;26,19;1171;0,058770344;0,0529462
2021-01-02 09:00;43,3;1233;0,0529462;0,056772101
2021-01-02 10:00;47,85;1303;0,056772101;0,060629317
2021-01-02 11:00;50,75;1382;0,060629317;0,040520984
